Nucleus,Energy,Jπ,T1/2,J
224TH,0, 0+ , 1.04 s 2  ,0
224TH,      98.1 3 , 2+ , 0.590 ns 40  ,2 
224TH,     251.0 3 , (1-) ,   ,1
224TH,     284.1 5 , 4+ ,   ,4
224TH,     305.3 5 , (3-) ,   ,3
224TH,     464.5 5 , (5-) ,   ,5
224TH,     534.7 5 , 6+ ,   ,6
224TH,     699.5 5 , (7-) ,   ,7
224TH,     833.9 6 , 8+ ,   ,8
224TH,     997.7 6 , (9-) ,   ,9
224TH,    1173.8 6 , 10+ ,   ,10
224TH,    1347.3 6 , (11-) ,   ,11
224TH,    1549.8 6 , 12+ ,   ,12
224TH,    1738.7 6 , (13-) ,   ,13
224TH,    1958.9 7 , 14+ ,   ,14
224TH,    2164.7 7 , (15-) ,   ,15
224TH,    2398.0 7 , 16+ ,   ,16
224TH,    2620.2 7 , (17-) ,   ,17
224TH,2864, 18+ ,   ,18
224TH,      10.8E3 3 ,  , 4.4 MeV 6  ,  
224TH,      14.1E3 6 ,  , 5.9 MeV 10  ,  
