z,n,firstThreeMinusEnergy(keV)
2,6,7160
4,6,7371
6,6,9641
8,6,6272
2,8,6800
6,8,6728.2
8,8,6129.89
8,10,5097.78
10,10,5621.4
12,10,6766
8,12,5614
10,12,5910.1
12,12,7616.41
14,12,6787
12,14,6876.42
14,14,6878.79
16,14,5318
12,16,5171.3
14,16,5487.5
16,16,5006.2
18,16,4513.2
14,18,5288.8
16,18,4624.404
18,18,4178.32
20,18,3703.5
14,20,4256.1
16,20,4192.7
18,20,3810.18
20,20,3736.69
22,20,4375
16,22,5064
18,22,3680.6
20,22,3446.94
22,22,3175.8
24,22,3196.5
26,22,3475
18,24,4633.9
20,24,3307.865
22,24,3058.46
24,24,4064.1
20,26,3614
22,26,3358.823
24,26,4051.7
26,26,4396.3
20,28,4507.05
22,28,4410.02
24,28,4100
26,28,4781.9
28,28,7576
20,30,3997.22
22,30,3453.52
24,30,4127.05
26,30,3076.2
28,30,4474.6
20,32,3990
24,32,3451
26,32,3860.9
28,32,4039.89
30,32,3223.5
32,32,2969.7
20,34,3699
26,34,3293
28,34,3756.5
30,34,2998.54
32,34,2796.86
28,36,3559.9
30,36,2826.69
32,36,2648.67
34,36,2518.6
36,36,1849.04
28,38,3370.9
30,38,2750.76
32,38,2562.049
34,38,2405.74
30,40,2859.49
32,40,2514.79
34,40,2349.66
36,40,2257.41
38,40,2310.5
32,42,2536.31
34,42,2429.095
36,42,2399.03
32,44,2284.22
34,44,2507.32
36,44,2439.21
38,44,2401.82
32,46,3615
34,46,2716.65
36,46,2547.452
38,46,2448.11
34,48,3009.14
36,48,2700.28
38,48,2481.96
40,48,2455.88
42,48,2432.63
34,50,5596.16
36,50,2916.83
38,50,2734.137
40,50,2747.875
42,50,2849.81
44,50,2965
36,52,2419.62
38,52,2207.02
40,52,2339.66
42,52,2533.87
44,52,2649.99
38,54,2185
40,54,2057.63
42,54,2234.63
44,54,2435
38,56,1926.28
40,56,1897.158
42,56,2017.53
44,56,2166.879
46,56,2342.95
40,58,1806.18
42,58,1908.19
44,58,2043.393
46,58,3094
48,58,2378.5
54,58,1649.5
42,60,1881
44,60,1970.43
46,60,2083.92
48,60,2202.208
50,60,2458.42
54,60,1623.8
46,62,2046.65
48,62,2078.548
50,62,2354.21
42,64,1817.22
46,64,2037.67
48,64,2005.2
50,64,2274.99
44,66,2942.8
48,66,1958.094
50,66,2266.159
52,66,1944.51
48,68,1921.557
50,68,2324.846
52,68,2083.06
56,68,1722.1
48,70,1935
50,70,2400.3
52,70,2196.81
54,70,1898.01
56,70,1742.57
48,72,1899.9
50,72,2492.67
52,72,2293.711
54,72,2004.88
56,72,2659
48,74,1909.1
50,74,2602.495
52,74,2385.81
54,74,2138.68
56,74,1948
50,76,2720
52,76,2440
56,76,2068.553
52,78,2527.06
54,78,2468.78
56,78,2254.95
58,78,1982
56,80,2390.817
58,80,2177.37
60,80,1935.16
62,80,1784.2
64,80,1702.29
66,80,1782.8
50,82,4351.94
54,82,3275.26
56,82,2880.66
58,82,2464.08
60,82,2083.94
62,82,1810.172
64,82,1579.4
66,82,1687.5
68,82,1785.89
70,82,1890.1
72,82,2011
54,84,2015.48
56,84,1802.9
58,84,1652.91
60,84,1510.871
62,84,1380.301
